# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00002000   ---        --------
               6   N   00002000   0000e101   00002004   x10_a0     00000000
               7   N   00002004   00004e01   00002006   ---        --------
               8   N   00002006   00000297   00002008   x28_t3     00000000
               9   N   00002008   87828293   0000200c   x05_t0     00002008
              10   N   0000200c   30529073   00002010   x05_t0     00001880
              11   N   00002010   00004505   00002014   ---        --------
              12   N   00002014   0000057e   00002016   x10_a0     00000001
              13   N   00002016   00054863   00002018   x10_a0     80000000
              14   N   00002018   0ff0000f   00002028   ---        --------
              17   N   00002028   00028f63   0000202c   x05_t0     00000000
              18   N   0000202c   10529073   0000204a   ---        --------
              22   N   0000204a   00006509   0000204e   ---        --------
              23   N   0000204e   00006509   0000204e   ---        --------
              24   N   0000204e   80050513   00002050   x10_a0     00002000
              25   N   00002050   30052073   00002054   x10_a0     00001800
              26   N   00002054   00000297   00002058   ---        --------
              27   N   00002058   00000297   00002058   ---        --------
              28   N   00002058   6af28293   0000205c   x05_t0     00002058
              29   N   0000205c   34129073   00002060   x05_t0     00002707
              30   N   00002060   f1402573   00002064   ---        --------
              31   N   00002064   30200073   00002068   x10_a0     00000000
              33   N   00002068   00000000   00002706   ---        --------
              36   N   00002706   00200e13   00002708   x08_s0     00000080
              37   N   00002708   00000000   0000270c   x28_t3     00000002
              38   E   0000270c   00000000   00001880   mstatus    00001800
              38   E   0000270c   00000000   00001880   mepc       0000270c
              38   E   0000270c   00000000   00001880   mcause     00000002
              38   E   0000270c   00000000   00001880   mtval      00000000
              41   N   00001880   000047a1   00001884   x14_a4     00000002
              42   N   00001884   04f70263   00001886   x15_a5     00000008
              43   N   00001886   000047a5   0000188a   ---        --------
              44   N   0000188a   02f70f63   0000188c   x15_a5     00000009
              45   N   0000188c   000047ad   00001890   ---        --------
              46   N   00001890   02f70c63   00001892   x15_a5     0000000b
              47   N   00001892   47ad0837   00001896   ---        --------
              49   N   00001896   02f71897   0000189a   x16_a6     f0000000
              51   N   0000189a   f0008893   0000189e   x17_a7     0000289a
              53   N   0000189e   00008783   000018a2   x17_a7     00002700
              56   N   000018a2   0000c791   000018a6   x15_a5     00000049
              57   N   000018a6   00f82023   000018a8   ---        --------
              59   N   000018a8   00000885   000018ac   ---        --------
              60   N   000018ac   ff5ff06f   000018ae   x17_a7     00002701
